model,threshold,accuracy,precision,recall,f1,f2,tn,fp,fn,tp,is_selected
logistic_regression,0.49,0.502737086761063,0.4980065988452021,0.8975470763131813,0.6405835543766578,0.7734435049961568,1949,14606,1654,14490,False
logistic_regression,0.5,0.5028899966359828,0.49806438112510026,0.8846010901883052,0.6373028092018653,0.765745477163294,2163,14392,1863,14281,False
logistic_regression,0.51,0.5047554971100033,0.4991137266023823,0.8720887016848364,0.6348755411255411,0.7586976202793585,2426,14129,2065,14079,False
logistic_regression,0.52,0.5064986696840882,0.5001262307498107,0.8589568880079287,0.632171593991475,0.7511673510070095,2695,13860,2277,13867,False
logistic_regression,0.53,0.5081195143582372,0.5011020498126515,0.8449578790882062,0.6291103629571554,0.7429900433560644,2974,13581,2503,13641,False
logistic_regression,0.54,0.5093122113826111,0.5018567838253498,0.8287289395441031,0.6251430974464407,0.7332164191373924,3275,13280,2765,13379,False
logistic_regression,0.55,0.5122480809810698,0.5037478377858927,0.8117566897918731,0.6216940629521573,0.7233058471592101,3645,12910,3039,13105,False
logistic_regression,0.56,0.5138077617052509,0.504845572013867,0.7937933597621407,0.6171739549219804,0.7122610048910627,3986,12569,3329,12815,False
logistic_regression,0.57,0.5161625737790146,0.506535550969204,0.7753344895936571,0.6127524170848121,0.7009419064365473,4361,12194,3627,12517,False
logistic_regression,0.58,0.5181198201779871,0.5080736012016522,0.7542740336967294,0.6071651168008776,0.6876319980122653,4765,11790,3967,12177,False
logistic_regression,0.59,0.5193125172023609,0.5091786606912005,0.7319127849355798,0.600559085133418,0.6730309175001709,5165,11390,4328,11816,False
logistic_regression,0.6,0.520382886326799,0.5102970739334376,0.7075693756194251,0.5929559552544836,0.6567886753832177,5593,10962,4721,11423,False
logistic_regression,0.61,0.5246949447995352,0.5140588510042037,0.6817393458870169,0.5861426212920062,0.639987905007792,6151,10404,5138,11006,False
logistic_regression,0.62,0.5268356830484112,0.5163742690058479,0.6563429137760158,0.5780056731398647,0.6225909560966438,6631,9924,5548,10596,False
logistic_regression,0.63,0.5284259457475764,0.518452441635233,0.6300173439048563,0.5688160617415133,0.6040216642516094,7108,9447,5973,10171,False
logistic_regression,0.64,0.5296492247469342,0.5204606320299946,0.6018954410307235,0.5582237031079451,0.5836316459649713,7602,8953,6427,9717,False
logistic_regression,0.65,0.5300467904217254,0.5218959589697345,0.5735877106045589,0.546522265175436,0.5624460938543957,8072,8483,6884,9260,False
logistic_regression,0.66,0.5320957827456497,0.5251220383378974,0.5463949454905848,0.5355473256025742,0.5420035883697496,8578,7977,7323,8821,False
logistic_regression,0.67,0.5342671029695097,0.5289099526066351,0.5184588701684837,0.5236322687603616,0.5205159139811694,9100,7455,7774,8370,False
logistic_regression,0.68,0.5356432918437872,0.5323493732308936,0.48928394449950446,0.5099089794073979,0.49733044551338557,9616,6939,8245,7899,False
logistic_regression,0.69,0.5356738738187712,0.5345758077282867,0.46017096134786917,0.49459072600778936,0.47334752080333364,10087,6468,8715,7429,False
logistic_regression,0.7,0.5359796935686106,0.5376677787260454,0.42926164519326065,0.4773878000895533,0.4472987800942361,10596,5959,9214,6930,False
logistic_regression,0.71,0.5376005382427597,0.543119420582786,0.39946729435084244,0.46034691983724746,0.42177894048397646,11130,5425,9695,6449,False
logistic_regression,0.72,0.5366830789932414,0.5459419486041782,0.3658325074331021,0.4380980639418441,0.39167573016420404,11643,4912,10238,5906,False
logistic_regression,0.73,0.5347564145692529,0.5472540858796061,0.33393211100099107,0.41477207155222157,0.36216695554032813,12095,4460,10753,5391,False
logistic_regression,0.74,0.5345729227193492,0.5519254518917706,0.30450941526263625,0.3924793421420303,0.3344991358545514,12564,3991,11228,4916,False
logistic_regression,0.75,0.5344811767943973,0.558104360978069,0.2742814667988107,0.36780463493645654,0.30533719486967315,13049,3506,11716,4428,False
logistic_regression,0.76,0.5333802256949753,0.5626236923946848,0.24653121902874134,0.34283745369971574,0.2777390090718772,13461,3094,12164,3980,False
logistic_regression,0.77,0.531392397321019,0.5662631154156578,0.21729435084241824,0.31406956443887374,0.24784163004620538,13868,2687,12636,3508,False
logistic_regression,0.78,0.5285788556224961,0.5676377806643162,0.18948216055500497,0.28412204523289836,0.21860930465232617,14225,2330,13085,3059,False
logistic_regression,0.79,0.5278143062478975,0.5754070265638389,0.16637760158572845,0.2581203152027676,0.19395182254058113,14573,1982,13458,2686,False
logistic_regression,0.8,0.5248478546744548,0.5755538959422455,0.14321110009910804,0.22935370269331878,0.1685303165045996,14850,1705,13832,2312,False
logistic_regression,0.81,0.5232270100003058,0.5820011841326228,0.12177898909811695,0.20141378957074071,0.1446566795184978,15143,1412,14178,1966,False
logistic_regression,0.82,0.5211474357013975,0.5856236786469344,0.10294846382556987,0.1751132651986092,0.123268163882873,15379,1176,14482,1662,False
