model,threshold,precision,recall,f1,f2,fp,fn,is_selected
linear_svm,0.94,0.5630039161483529,0.15138751238850348,0.23861361972174763,0.17731474092023738,1897,13700,False
linear_svm,0.95,0.5738984941438929,0.1274777006937562,0.20861632032437913,0.15096388016783546,1528,14086,False
linear_svm,0.96,0.5752825373678454,0.09774529236868186,0.1670990628474612,0.11720316701079933,1165,14566,False
linear_svm,0.97,0.5869226777374157,0.0700569871159564,0.12517292900226884,0.08503375787558456,796,15013,False
linear_svm,0.98,0.6026200873362445,0.04274033696729435,0.07981953843484296,0.052494636417583423,455,15454,False
linear_svm,0.99,0.6432160804020101,0.015857284440039643,0.030951517349776327,0.019700187767414657,142,15888,False
random_forest,0.01,0.4938060135197137,1.0,0.6611380715441162,0.8298635742117221,16549,0,False
random_forest,0.02,0.49388154674498286,1.0,0.6612057667103539,0.8299062345780556,16544,0,False
random_forest,0.03,0.4939419899645086,1.0,0.661259932825428,0.8299403660292001,16540,0,False
random_forest,0.04,0.49397184822521417,0.9999380574826561,0.6612731443552351,0.8299230895780209,16537,1,False
random_forest,0.05,0.49401719864124616,0.9999380574826561,0.661313778906618,0.8299486905288269,16534,1,False
random_forest,0.06,0.4940773162743718,0.9998761149653121,0.6613540919799242,0.829948481701235,16529,2,False
random_forest,0.07,0.49412268886984206,0.9998761149653121,0.6613947389986069,0.8299740858047797,16526,2,False
random_forest,0.08,0.4942285906738924,0.9998761149653121,0.6614896014752587,0.8300338348571017,16519,2,False
random_forest,0.09,0.49437961346442466,0.9998141724479683,0.6616112967023958,0.8300848547184366,16508,3,True
random_forest,0.1,0.49437858040008575,0.9996283448959365,0.6615696804476603,0.8299817936823048,16505,6,False
random_forest,0.11,0.49457521147480693,0.9995664023785926,0.6617321413926023,0.8300584338093082,16491,7,False
random_forest,0.12,0.49465002912591594,0.999380574826561,0.6617583724698017,0.8299980451267066,16483,10,False
random_forest,0.13,0.494586387755728,0.9988230921704658,0.6615791741030217,0.8296545549964498,16478,19,False
random_forest,0.14,0.494676771085816,0.998699207135778,0.6616328456819255,0.8296370241537939,16470,21,False
random_forest,0.15,0.49482795665919765,0.9985753221010902,0.661740861605402,0.8296536462353971,16458,23,False
random_forest,0.16,0.4948554931048251,0.998017839444995,0.6616430199371702,0.829361198332218,16447,32,False
random_forest,0.17,0.4950978885576421,0.9978320118929633,0.6618187794005875,0.8293946227590538,16428,35,False
random_forest,0.18,0.4952489313939543,0.9975842418235877,0.6618991841851098,0.8293423966218652,16414,39,False
random_forest,0.19,0.49542809642560265,0.9967789890981169,0.6618817480719794,0.8289973932843587,16389,52,False
random_forest,0.2,0.49570121105667003,0.9964073339940536,0.6620434201049491,0.8289445205973595,16365,58,False
random_forest,0.21,0.4958815363257751,0.9956640237859267,0.6620399925863383,0.8286335845593921,16341,70,False
random_forest,0.22,0.4962008895478132,0.9951065411298315,0.6622011541632317,0.8285027642544764,16311,79,False
random_forest,0.23,0.4964585073149609,0.9942393458870169,0.6622382671480145,0.8281651480285221,16280,93,False
random_forest,0.24,0.4966247600173407,0.9934340931615461,0.6622073578595318,0.8278104676370394,16256,106,False
random_forest,0.25,0.49699094180419406,0.9923810703666998,0.6622984704423316,0.8274284179647151,16215,123,False
random_forest,0.26,0.4974824392366507,0.9914519326065411,0.6625274224926528,0.8271834625322998,16168,138,False
random_forest,0.27,0.4977585455451093,0.9903989098116948,0.6625367753698256,0.8267492605845002,16133,155,False
random_forest,0.28,0.4979729308301628,0.9890981169474727,0.6624351794233562,0.8261418430909956,16098,176,False
random_forest,0.29,0.4984984045548395,0.9870540138751239,0.6624402411141135,0.8252884754821735,16031,209,False
random_forest,0.3,0.4988396889111892,0.9853196233894945,0.6623500999333778,0.8245044783546194,15981,237,False
random_forest,0.31,0.4994181475074697,0.9835852329038652,0.6624668849996871,0.8238474229799421,15916,265,False
random_forest,0.32,0.4998895933882212,0.9816030723488602,0.6624307660152576,0.822989914517486,15854,297,False
random_forest,0.33,0.5004750142504275,0.9789395441030724,0.6623360295042119,0.8218066851093039,15774,340,False
random_forest,0.34,0.5008892276422764,0.9769573835480674,0.6622438696674504,0.8209110592938041,15716,372,False
random_forest,0.35,0.5014982467325471,0.9744796828543112,0.6622048238413941,0.8198361578387843,15638,412,False
